node_id,type,x,y,z
V67,vehicle,541.1796155261949,5.132889840190588,0.0
V68,vehicle,213.30851696950813,0.11568123683866482,0.0
V69,vehicle,287.4736744427246,1.7871706523547024,0.0
V70,vehicle,222.06689344291087,6.491661602322121,0.0
V71,vehicle,436.2567098602925,5.000617393601525,0.0
V72,vehicle,434.7676826229032,3.387798404290528,0.0
V73,vehicle,364.01983079123545,0.8311987775383805,0.0
V74,vehicle,291.50800175381465,0.8777098972714699,0.0
V75,vehicle,462.29895755008135,5.861703255116157,0.0
V76,vehicle,546.7391455921378,2.4839169289932803,0.0
V77,vehicle,532.0738112807412,6.949419717738633,0.0
V78,vehicle,523.740531589737,2.11985795144682,0.0
V79,vehicle,323.03429668393056,5.018218754016045,0.0
V80,vehicle,479.33972318010785,0.6365324728511323,0.0
V81,vehicle,444.3045696426467,4.353986649667174,0.0
V82,vehicle,524.4475326989885,0.3328507410529963,0.0
V83,vehicle,432.87366159691004,3.3138978818699574,0.0
V84,vehicle,559.1020216359218,3.1082005850584125,0.0
V85,vehicle,295.6618224282998,2.1697541130118854,0.0
V86,vehicle,368.49109715247084,4.778593683654045,0.0
V87,vehicle,509.5931459309453,0.4366997312595645,0.0
V88,vehicle,553.5449040206261,1.2924869841808486,0.0
V89,vehicle,313.05526299604014,2.9216848949878305,0.0
V90,vehicle,350.4560701157857,5.442797289496446,0.0
V91,vehicle,228.3655515939765,2.4518741463054914,0.0
V92,vehicle,396.0885351315785,1.0410626086865453,0.0
V93,vehicle,394.8673411403325,1.5667159990004773,0.0
V94,vehicle,465.13376724360575,3.244712397705719,0.0
V95,vehicle,374.89568082160815,4.02768820832027,0.0
V96,vehicle,423.45078298806527,3.5203038657447423,0.0
V97,vehicle,553.7876728800214,3.631778695731586,0.0
V98,vehicle,499.1319070803612,3.9940184692120555,0.0
V99,vehicle,239.27802166999695,2.010448911225903,0.0
V100,vehicle,259.9246700960384,1.6607602009843636,0.0
U1,uav,50.89041770476721,-8.076909159873622,63.225264727883044
U2,uav,528.000130031687,51.24010297661765,62.510242147348336
U3,uav,610.6571450475628,29.592471523623743,56.4065466378402
